velocity,CO2,NOx
0.411235634,0.363137736,0
2.69857374,1.163600587,0
7.186451959,2.432816517,0
12.1374035,3.685726883,0.341160799
15.56223233,1.256161053,1.668281706
17.68742696,1.748899735,0.034106724
20.28767485,3.542171221,0
24.36887584,5.257816002,1.951786263
29.4520587,6.991142383,5.445503587
34.12453335,2.610741252,10.19962391
37.5026103,2.74520656,1.26962312
40.28398873,4.967359837,0.906929348
43.23395266,5.287161187,3.010649616
45.99977225,5.47773888,3.910597266
47.9032628,2.626907641,3.933018253
48.77478398,1.097700905,0.845893546
49.0749227,1.400611518,0
49.2970035,1.794199767,0
49.48077113,1.827929417,0
49.5401057,1.75993173,0
49.48521652,1.53358527,0
49.35373865,1.492151294,0
49.24882007,1.473417906,0
49.22037715,1.525426285,0
49.23793265,1.478615471,0
49.24746385,1.483085509,0
49.14589814,1.420509807,0
48.77195852,1.178764825,0
47.9253767,0.300029494,0
46.75126807,0.826578246,0
45.77433857,1.076924727,0
45.22774478,1.299091618,0
44.93483922,1.296983276,0
44.71543318,1.325672118,0
44.50860984,1.302173161,0
44.17260666,1.265368036,0
43.4030656,0.565829671,0
42.0025438,0.2848232,0
39.94169421,0.166063063,0
37.26538506,0.089272836,0
34.31900003,0.056020385,0
31.5956753,0.029415931,0
29.10999022,0.02429089,0
26.41284804,0.020772455,0
23.18998277,0.032377055,0
19.42854801,0.057535316,0
15.33382251,0.120691416,0
11.34793355,0.180781204,0
7.751882119,0.210222625,0
4.552260932,0.249764324,0
1.975407816,0.269263532,0
0.434555061,0.278633307,0
0,0.282765788,0
0,0.275283834,0
0,0.314072656,0
0,0.29547766,0
0,0.317231044,0
0,0.3304196,0
0,0.317982216,0
0,0.323681777,0
0,0.345065565,0
0,0.34768033,0
0,0.322750712,0
0,0.334168068,0
0,0.341592614,0
0,0.354578995,0
0,0.339009647,0
0,0.359133698,0
0,0.354618678,0
0,0.347956171,0
0,0.339126833,0
0,0.360001185,0
0,0.376161409,0
0,0.374598591,0
0,0.347401355,0
0,0.348450319,0
0,0.3817277,0
0,0.367955309,0
0,0.364914977,0
0,0.376408362,0
0,0.375532713,0
0,0.358986252,0
0,0.367069987,0
0,0.358449948,0
0,0.367955309,0
0,0.367955309,0
0,0.374410666,0
0,0.38014876,0
0,0.354858265,0
0,0.35754743,0
0,0.365460954,0
0,0.365460954,0
0,0.375532713,0
0,0.371216245,0
0,0.361684015,0
0,0.374490077,0
0,0.368717591,0
0,0.380828961,0
0,0.40383038,0
0,0.359684048,0
0,0.357512917,0
0,0.371263414,0
0,0.369815993,0
0,0.370712063,0
0,0.352646173,0
0,0.362763071,0
0,0.367098885,0
0,0.382427247,0
0,0.358615739,0
0,0.366552908,0
0,0.358615739,0
0,0.362763071,0
0,0.375047877,0
0,0.361131469,0
0,0.387908752,0
0,0.365473731,0
0,0.379224228,0
0,0.355341786,0
0,0.377776807,0
0,0.381961756,0
0,0.384136111,0
0,0.388484822,0
0,0.335575509,0
0,0.353170655,0
0,0.359684048,0
0,0.375605676,0
0,0.371263414,0
0,0.379224228,0
0,0.377776807,0
0,0.349552103,0
0,0.371814764,0
0,0.366016484,0
0,0.359684048,0
0,0.370712063,0
0,0.359149893,0
0,0.356981987,0
0,0.386756612,0
0,0.350156237,0
0,0.361684015,0
0,0.369609362,0
0,0.374490077,0
0,0.378097882,0
0,0.37177082,0
0,0.367619188,0
0,0.379129769,0
0,0.35754743,0
0,0.367619188,0
0,0.379696167,0
0,0.374490077,0
0,0.374490077,0
0,0.362223543,0
0,0.369609362,0
0,0.367619188,0
0,0.365460954,0
0,0.39194443,0
0,0.358615739,0
0,0.366006931,0
0,0.371216245,0
0,0.37225888,0
0,0.363823023,0
0,0.376297783,0
0,0.348450319,0
0,0.358446844,0
0,0.351120138,0
0,0.358986373,0
0,0.36113171,0
0,0.392596651,0
0,0.356841036,0
0,0.33059938,0
0,0.360046204,0
0,0.350064725,0
0,0.365749907,0
0,0.369469884,0
0,0.357367788,0
0,0.357367788,0
0,0.359503452,0
0,0.374598591,0
0,0.360547162,0
0,0.352205884,0
0,0.363544504,0
0,0.375591788,0
0,0.328111316,0
0,0.353623211,0
0,0.358417946,0
0,0.360547162,0
0,0.358417946,0
0,0.378290625,0
0,0.376161409,0
0,0.370483501,0
0,0.36622507,0
0,0.374032194,0
0,0.364095855,0
0,0.360547162,0
0,0.348481607,0
0,0.360547162,0
0,0.345455247,0
0,0.367888795,0
0,0.365749907,0
0,0.348450319,0
0,0.350064725,0
0,0.340083247,0
0,0.342222135,0
0,0.366852608,0
0,0.373849642,0
0,0.339982099,0
0,0.357913644,0
0,0.380718382,0
0,0.352703256,0
0,0.366520786,0
0,0.367403959,0
0,0.358986373,0
0,0.338453793,0
0,0.350064725,0
0,0.355232124,0
0,0.347925837,0
0,0.364323981,0
0,0.373592497,0
0,0.377300652,0
0,0.355232124,0
0,0.351141753,0
0,0.341190367,0
0,0.345455247,0
0,0.339057928,0
0,0.353274193,0
0,0.354159515,0
0,0.354159515,0
0,0.381839317,0
0,0.35469582,0
0,0.35469582,0
0,0.369469884,0
0,0.373029324,0
0,0.345455247,0
0,0.36622507,0
0,0.344932915,0
0,0.350610823,0
0,0.366779645,0
0,0.351672683,0
0,0.351672683,0
0,0.343841915,0
0,0.341190367,0
0,0.348481607,0
0,0.377717779,0
0,0.337519949,0
0,0.35060342,0
0,0.342321254,0
0,0.343729983,0
0,0.36078775,0
0,0.35938117,0
0,0.36078775,0
0,0.339689051,0
0,0.367960767,0
0.031532084,0.332340571,0
0.930629706,0.323135188,0
2.961228086,0.734612839,0
5.523049779,0.633229022,0
7.92868029,0.740322755,0
9.890450574,1.502195542,0
11.07111426,1.416598022,0
11.36179712,1.384163128,0
11.17607051,0.370619118,0
10.77839706,0.189762962,0
10.32832084,0.194124653,0
10.06329311,0.240033421,0
10.20784341,0.276071835,0
11.16454265,0.760685841,0
13.2606916,0.846147644,0
16.61499706,2.470253326,0
21.01694376,3.905027169,0.262595915
25.74419457,4.977249637,0.809352433
29.76896179,4.441358134,1.55052987
32.52558922,1.476625243,1.064780995
34.35938521,2.398466836,0
35.49759171,2.686007516,0.574021316
35.8587226,1.43075349,0.9904648
35.66591352,1.11885677,1.142182465
34.82080093,0.32714226,0.222647348
33.05029515,0.108276082,0.054556985
30.39813423,0.325080503,0.089147492
27.15767579,0.133073108,0
23.91220688,0.100599237,0
20.94984861,0.132257467,0
17.95366022,0.172496396,0
14.58729948,0.227023683,0
10.97339117,0.246734452,0
7.42250935,0.274219314,0
4.170862108,0.275488158,0
1.652175703,0.305776397,0
0.291511665,0.311876722,0
0,0.300988064,0
0,0.307871053,0
0,0.321090499,0
0,0.317442688,0
0,0.331772878,0
0,0.310458986,0
0,0.318554145,0
0,0.328076702,0
0,0.336423076,0
0,0.320372357,0
0,0.312025983,0
0,0.326150616,0
0,0.331841421,0
0,0.320690763,0
0,0.333568714,0
0,0.329771391,0
0,0.326946566,0
0,0.344247229,0
0,0.353075493,0
0,0.343144528,0
0,0.32937361,0
0,0.329771391,0
0,0.319962948,0
0,0.324734836,0
0,0.339285073,0
0,0.312982035,0
0,0.325126168,0
0,0.32734431,0
0,0.323533377,0
0,0.31907934,0
0,0.320513187,0
0,0.331610385,0
0,0.331610385,0
0,0.329109303,0
0,0.329109303,0
0,0.308397119,0
0,0.313214545,0
1.148415818,0.552836553,0
4.762286459,1.715766097,0
10.04600132,2.538741489,1.252341478
14.77001227,3.712480271,3.161302747
17.89786689,0.970311746,2.09943892
20.46285309,1.677070734,0
23.61899994,4.09154374,1.76469946
27.02371153,4.520006468,5.209728784
29.60760944,1.089242146,3.235132735
31.31904437,2.038732675,0.375244089
32.79965841,2.546672552,1.038364415
34.02462524,2.593553891,2.002263192
34.60154558,1.401239946,1.580242505
34.64404044,1.217195378,1.063245651
34.46200575,1.027264352,0.615567325
34.17629569,0.866817692,0.353748918
33.87114649,0.764192802,0.18486445
33.60472487,0.717453089,0.093350546
33.39850429,0.711457748,0.053602052
33.29170207,0.682868618,0.018615731
33.2678929,0.775717845,0
33.32862136,0.954573242,0
33.5180399,1.103238892,0
33.77007053,1.104718221,0
33.98133926,1.133891611,0
34.11507749,1.128620082,0
34.17512784,1.111450503,0
34.1957725,1.10346195,0
34.21604043,1.113411028,0
34.24874037,1.102308698,0
34.28400206,1.103938197,0
34.30766054,1.102565852,0
34.31421559,1.08027509,0
34.3140649,1.081315659,0
34.33026418,1.075878497,0
34.38311904,1.072141444,0
34.4579371,1.083315746,0
34.5116961,1.07109917,0
34.53023109,1.069946038,0
34.53151196,1.062576341,0
34.52344999,1.077725302,0
34.49790788,1.039078468,0
34.45820081,1.083295854,0
34.43243265,1.061364098,0
34.50491501,1.22996047,0
34.79612529,1.435681458,0
35.32621842,1.493894719,0
35.96187057,1.534116943,0
36.54150335,1.536972454,0
37.02857421,1.693725812,0
37.4409777,1.616436399,0
37.75287032,1.468804334,0
37.96835839,1.417307809,0
38.09919582,1.371604766,0
38.14636209,1.334640095,0
38.06423552,1.360290754,0
37.71911554,1.374937719,0
