velocity,RPM,CO2,NOx,NH3
7.751882119,791,0.210222625,0,0
4.552260932,793,0.249764324,0,0
1.975407816,792,0.269263532,0,0
0.434555061,793,0.278633307,0,0
0,791,0.282765788,0,0
0,790,0.275283834,0,0
0,789,0.314072656,0,0
0,791,0.29547766,0,0
0,793,0.317231044,0,0
0,790,0.3304196,0,0
0,791,0.317982216,0,0
0,798,0.323681777,0,0
0,790,0.345065565,0,0
0,790,0.34768033,0,0
0,792,0.322750712,0,0
0,791,0.334168068,0,0
0,792,0.341592614,0,0
0,791,0.354578995,0,0
0,789,0.339009647,0,0
0,792,0.359133698,0,0
0,792,0.354618678,0,0
0,790,0.347956171,0,0
0,789,0.339126833,0,0
0,790,0.360001185,0,0
0,791,0.376161409,0,0
0,790,0.374598591,0,0
0,790,0.347401355,0,0
0,789,0.348450319,0,0
0,791,0.3817277,0,0
0,789,0.367955309,0,0
0,791,0.364914977,0,0
0,789,0.376408362,0,0
0,791,0.375532713,0,0
0,790,0.358986252,0,0
0,789,0.367069987,0,0
0,790,0.358449948,0,0
0,790,0.367955309,0,0
0,788,0.367955309,0,0
0,788,0.374410666,0,0
0,790,0.38014876,0,0
0,790,0.354858265,0,0
0,789,0.35754743,0,0
0,789,0.365460954,0,0
0,788,0.365460954,0,0
0,789,0.375532713,0,0
0,787,0.371216245,0,0
0,789,0.361684015,0,0
0,790,0.374490077,0,0
0,786,0.368717591,0,0
0,787,0.380828961,0,0
0,787,0.40383038,0,0
0,789,0.359684048,0,0
0,787,0.357512917,0,0
0,787,0.371263414,0,0
0,788,0.369815993,0,0
0,786,0.370712063,0,0
0,788,0.352646173,0,0
0,786,0.362763071,0,0
0,789,0.367098885,0,0
0,789,0.382427247,0,0
0,786,0.358615739,0,0
0,788,0.366552908,0,0
0,788,0.358615739,0,0
0,787,0.362763071,0,0
0,787,0.375047877,0,0
0,787,0.361131469,0,0
0,787,0.387908752,0,0
0,788,0.365473731,0,0
0,786,0.379224228,0,0
0,788,0.355341786,0,0
0,789,0.377776807,0,0
0,787,0.381961756,0,0
0,789,0.384136111,0,0
0,787,0.388484822,0,0
0,788,0.335575509,0,0
0,787,0.353170655,0,0
0,787,0.359684048,0,0
0,786,0.375605676,0,0
0,787,0.371263414,0,0
0,787,0.379224228,0,0
0,786,0.377776807,0,0
0,787,0.349552103,0,0
0,785,0.371814764,0,0
0,787,0.366016484,0,0
0,786,0.359684048,0,0
0,787,0.370712063,0,0
0,787,0.359149893,0,0
0,786,0.356981987,0,0
0,787,0.386756612,0,0
0,787,0.350156237,0,0
0,787,0.361684015,0,0
0,785,0.369609362,0,0
0,786,0.374490077,0,0
0,785,0.378097882,0,0
0,786,0.37177082,0,0
0,784,0.367619188,0,0
0,785,0.379129769,0,0
0,787,0.35754743,0,0
0,785,0.367619188,0,0
0,786,0.379696167,0,0
0,784,0.374490077,0,0
0,786,0.374490077,0,0
0,786,0.362223543,0,0
0,786,0.369609362,0,0
0,785,0.367619188,0,0
0,786,0.365460954,0,0
0,786,0.39194443,0,0
0,786,0.358615739,0,0
0,787,0.366006931,0,0
0,785,0.371216245,0,0
0,783,0.37225888,0,0
